system   D            wsystem.c:583  maybe_parent_dir                 [   0.00127] Also searching C:\Allegro\Allegro Test\
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.22659] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   0.22708] Glyph 54: 19x24 (20x24)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.23894] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.23899] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.24729] Glyph 83: 16x24 (16x24)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.25976] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.25981] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.26088] Glyph 79: 5x24 (8x24)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.26116] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.26118] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.26216] Glyph 68: 16x18 (16x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.26342] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.26345] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.26512] Glyph 86: 15x18 (16x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.26558] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.26561] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.26649] Glyph 75: 15x24 (16x24)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.26683] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.26685] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.26774] Glyph 70: 15x18 (16x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.26802] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.26804] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.26886] Glyph 85: 10x18 (12x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.26935] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.26937] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.27071] Glyph 72: 16x18 (16x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27102] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.27104] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.27199] Glyph 81: 15x18 (16x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27226] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.27229] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27683] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.27687] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.28200] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.28206] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [  17.66657] removed dtor for object 04F5E058
dtor     D               dtor.c:214  _al_unregister_destructor        [  17.66772] removed dtor for object 04F7F290
dtor     D               dtor.c:214  _al_unregister_destructor        [  17.66906] removed dtor for object 04EF5FC0
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [  17.66958] d3d_destroy_bitmap: Release video texture failed.
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [  17.67035] destroying display 01135628 (current 00000000)
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [  17.67040] waiting for display 01135628's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [  17.68773] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [  17.71724] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [  17.72779] removed dtor for object 04ED5810
dtor     D               dtor.c:214  _al_unregister_destructor        [  17.72788] removed dtor for object 04ED58F0
dtor     D               dtor.c:114  _al_run_destructors              [  17.72796] calling dtor for object 04F5CF10, func 0FDC1B63
dtor     D               dtor.c:214  _al_unregister_destructor        [  17.72799] removed dtor for object 04F5CF10
dtor     D               dtor.c:114  _al_run_destructors              [  17.72864] calling dtor for object 04F3AC60, func 0FDC1B63
dtor     D               dtor.c:214  _al_unregister_destructor        [  17.72867] removed dtor for object 04F3AC60
dtor     D               dtor.c:114  _al_run_destructors              [  17.72917] calling dtor for object 04EF6FC8, func 0FDC1B63
dtor     D               dtor.c:214  _al_unregister_destructor        [  17.72921] removed dtor for object 04EF6FC8
